product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,source_record_number,product_name_lenght_raw,product_name_lenght_missing,product_name_lenght_invalid,product_description_lenght_raw,product_description_lenght_missing,product_description_lenght_invalid,product_photos_qty_raw,product_photos_qty_missing,product_photos_qty_invalid,product_weight_g_raw,product_weight_g_missing,product_weight_g_invalid,product_length_cm_raw,product_length_cm_missing,product_length_cm_invalid,product_height_cm_raw,product_height_cm_missing,product_height_cm_invalid,product_width_cm_raw,product_width_cm_missing,product_width_cm_invalid,missing_key,duplicate_key,product_category_name_english,category_status,category_display,category_missing,category_untranslated,product_weight_g_nonpositive,product_length_cm_nonpositive,product_height_cm_nonpositive,product_width_cm_nonpositive
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,40,287,1,225,16,10,14,1,40,False,False,287,False,False,1,False,False,225,False,False,16,False,False,10,False,False,14,False,False,False,False,perfumery,matched,perfumery,False,False,False,False,False,False
3aa071139cb16b67ca9e5dea641aaa2f,artes,44,276,1,1000,30,18,20,2,44,False,False,276,False,False,1,False,False,1000,False,False,30,False,False,18,False,False,20,False,False,False,False,art,matched,art,False,False,False,False,False,False
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46,250,1,154,18,9,15,3,46,False,False,250,False,False,1,False,False,154,False,False,18,False,False,9,False,False,15,False,False,False,False,sports_leisure,matched,sports_leisure,False,False,False,False,False,False
cef67bcfe19066a932b7673e239eb23d,bebes,27,261,1,371,26,4,26,4,27,False,False,261,False,False,1,False,False,371,False,False,26,False,False,4,False,False,26,False,False,False,False,baby,matched,baby,False,False,False,False,False,False
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,37,402,4,625,20,17,13,5,37,False,False,402,False,False,4,False,False,625,False,False,20,False,False,17,False,False,13,False,False,False,False,housewares,matched,housewares,False,False,False,False,False,False
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,60,745,1,200,38,5,11,6,60,False,False,745,False,False,1,False,False,200,False,False,38,False,False,5,False,False,11,False,False,False,False,musical_instruments,matched,musical_instruments,False,False,False,False,False,False
732bd381ad09e530fe0a5f457d81becb,cool_stuff,56,1272,4,18350,70,24,44,7,56,False,False,1272,False,False,4,False,False,18350,False,False,70,False,False,24,False,False,44,False,False,False,False,cool_stuff,matched,cool_stuff,False,False,False,False,False,False
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,56,184,2,900,40,8,40,8,56,False,False,184,False,False,2,False,False,900,False,False,40,False,False,8,False,False,40,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
37cc742be07708b53a98702e77a21a02,eletrodomesticos,57,163,1,400,27,13,17,9,57,False,False,163,False,False,1,False,False,400,False,False,27,False,False,13,False,False,17,False,False,False,False,home_appliances,matched,home_appliances,False,False,False,False,False,False
8c92109888e8cdf9d66dc7e463025574,brinquedos,36,1156,1,600,17,10,12,10,36,False,False,1156,False,False,1,False,False,600,False,False,17,False,False,10,False,False,12,False,False,False,False,toys,matched,toys,False,False,False,False,False,False
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,54,630,1,1100,16,10,16,11,54,False,False,630,False,False,1,False,False,1100,False,False,16,False,False,10,False,False,16,False,False,False,False,bed_bath_table,matched,bed_bath_table,False,False,False,False,False,False
03b63c5fc16691530586ae020c345514,bebes,49,728,4,7150,50,19,45,12,49,False,False,728,False,False,4,False,False,7150,False,False,50,False,False,19,False,False,45,False,False,False,False,baby,matched,baby,False,False,False,False,False,False
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43,1827,3,250,17,7,17,13,43,False,False,1827,False,False,3,False,False,250,False,False,17,False,False,7,False,False,17,False,False,False,False,musical_instruments,matched,musical_instruments,False,False,False,False,False,False
7bb6f29c2be57716194f96496660c7c2,moveis_decoracao,51,2083,2,600,68,11,13,14,51,False,False,2083,False,False,2,False,False,600,False,False,68,False,False,11,False,False,13,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,59,1602,4,200,17,7,17,15,59,False,False,1602,False,False,4,False,False,200,False,False,17,False,False,7,False,False,17,False,False,False,False,construction_tools_safety,matched,construction_tools_safety,False,False,False,False,False,False
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,22,3021,1,800,16,2,11,16,22,False,False,3021,False,False,1,False,False,800,False,False,16,False,False,2,False,False,11,False,False,False,False,sports_leisure,matched,sports_leisure,False,False,False,False,False,False
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,39,346,2,400,27,5,20,17,39,False,False,346,False,False,2,False,False,400,False,False,27,False,False,5,False,False,20,False,False,False,False,perfumery,matched,perfumery,False,False,False,False,False,False
a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,59,636,1,900,40,15,20,18,59,False,False,636,False,False,1,False,False,900,False,False,40,False,False,15,False,False,20,False,False,False,False,computers_accessories,matched,computers_accessories,False,False,False,False,False,False
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56,296,2,1700,100,7,15,19,56,False,False,296,False,False,2,False,False,1700,False,False,100,False,False,7,False,False,15,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,52,206,1,500,16,10,16,20,52,False,False,206,False,False,1,False,False,500,False,False,16,False,False,10,False,False,16,False,False,False,False,bed_bath_table,matched,bed_bath_table,False,False,False,False,False,False
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,27,158,4,2550,29,24,45,21,27,False,False,158,False,False,4,False,False,2550,False,False,29,False,False,24,False,False,45,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,27,329,2,800,36,8,16,22,27,False,False,329,False,False,2,False,False,800,False,False,36,False,False,8,False,False,16,False,False,False,False,bed_bath_table,matched,bed_bath_table,False,False,False,False,False,False
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,58,1987,3,75,21,7,13,23,58,False,False,1987,False,False,3,False,False,75,False,False,21,False,False,7,False,False,13,False,False,False,False,health_beauty,matched,health_beauty,False,False,False,False,False,False
8b41fbc2b984a12030090112324d1bc4,bebes,55,1627,1,500,20,13,13,24,55,False,False,1627,False,False,1,False,False,500,False,False,20,False,False,13,False,False,13,False,False,False,False,baby,matched,baby,False,False,False,False,False,False
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56,209,1,1800,40,10,30,25,56,False,False,209,False,False,1,False,False,1800,False,False,40,False,False,10,False,False,30,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,52,968,1,900,50,5,50,26,52,False,False,968,False,False,1,False,False,900,False,False,50,False,False,5,False,False,50,False,False,False,False,housewares,matched,housewares,False,False,False,False,False,False
f6574524b07d5bb753bab6f35abe2d06,malas_acessorios,52,573,5,3600,35,25,50,27,52,False,False,573,False,False,5,False,False,3600,False,False,35,False,False,25,False,False,50,False,False,False,False,luggage_accessories,matched,luggage_accessories,False,False,False,False,False,False
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,35,1101,2,300,42,2,30,28,35,False,False,1101,False,False,2,False,False,300,False,False,42,False,False,2,False,False,30,False,False,False,False,computers_accessories,matched,computers_accessories,False,False,False,False,False,False
a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,59,1890,2,740,23,13,13,29,59,False,False,1890,False,False,2,False,False,740,False,False,23,False,False,13,False,False,13,False,False,False,False,computers_accessories,matched,computers_accessories,False,False,False,False,False,False
051b9ff13dd55c0a6655a15ff296f80d,esporte_lazer,50,529,2,3600,62,23,23,30,50,False,False,529,False,False,2,False,False,3600,False,False,62,False,False,23,False,False,23,False,False,False,False,sports_leisure,matched,sports_leisure,False,False,False,False,False,False
47859fca9dd7485cbd93c3e8993bb74f,cama_mesa_banho,45,206,1,650,16,10,16,31,45,False,False,206,False,False,1,False,False,650,False,False,16,False,False,10,False,False,16,False,False,False,False,bed_bath_table,matched,bed_bath_table,False,False,False,False,False,False
e1d1d22e9f8122a4ec1533b032c12562,ferramentas_jardim,49,1163,9,2150,70,8,34,32,49,False,False,1163,False,False,9,False,False,2150,False,False,70,False,False,8,False,False,34,False,False,False,False,garden_tools,matched,garden_tools,False,False,False,False,False,False
20e37962088a4061d3578def47a8648b,moveis_decoracao,60,208,1,800,40,10,34,33,60,False,False,208,False,False,1,False,False,800,False,False,40,False,False,10,False,False,34,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,57,476,1,8950,52,51,17,34,57,False,False,476,False,False,1,False,False,8950,False,False,52,False,False,51,False,False,17,False,False,False,False,office_furniture,matched,office_furniture,False,False,False,False,False,False
ce5b91848b91118daffb3af53b747475,esporte_lazer,50,699,4,1388,34,9,31,35,50,False,False,699,False,False,4,False,False,1388,False,False,34,False,False,9,False,False,31,False,False,False,False,sports_leisure,matched,sports_leisure,False,False,False,False,False,False
5370b82a213393979691c98074265584,bebes,52,708,9,7950,33,30,44,36,52,False,False,708,False,False,9,False,False,7950,False,False,33,False,False,30,False,False,44,False,False,False,False,baby,matched,baby,False,False,False,False,False,False
b8dac5113b06a97e64943234522572b9,automotivo,43,1062,2,6000,87,3,42,37,43,False,False,1062,False,False,2,False,False,6000,False,False,87,False,False,3,False,False,42,False,False,False,False,auto,matched,auto,False,False,False,False,False,False
750cf819d127191920eda79a4b6fb479,eletronicos,31,806,1,263,18,12,16,38,31,False,False,806,False,False,1,False,False,263,False,False,18,False,False,12,False,False,16,False,False,False,False,electronics,matched,electronics,False,False,False,False,False,False
e6af694343b45b56304ad91974a110b9,utilidades_domesticas,37,352,1,3900,19,20,15,39,37,False,False,352,False,False,1,False,False,3900,False,False,19,False,False,20,False,False,15,False,False,False,False,housewares,matched,housewares,False,False,False,False,False,False
680874c570dad71c0a2844cfbf417054,moveis_decoracao,47,502,1,600,25,25,25,40,47,False,False,502,False,False,1,False,False,600,False,False,25,False,False,25,False,False,25,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
8b3a9476f74f5297f7ff0ec6d95fe1ea,moveis_decoracao,63,254,2,2050,49,13,41,41,63,False,False,254,False,False,2,False,False,2050,False,False,49,False,False,13,False,False,41,False,False,False,False,furniture_decor,matched,furniture_decor,False,False,False,False,False,False
1c6fb703c624b381a20f21f757694866,brinquedos,33,471,2,725,22,17,15,42,33,False,False,471,False,False,2,False,False,725,False,False,22,False,False,17,False,False,15,False,False,False,False,toys,matched,toys,False,False,False,False,False,False
db46052aed7dff59ba38cf2fe29b87f9,cama_mesa_banho,56,509,4,6350,45,15,35,43,56,False,False,509,False,False,4,False,False,6350,False,False,45,False,False,15,False,False,35,False,False,False,False,bed_bath_table,matched,bed_bath_table,False,False,False,False,False,False
