Dataset,Column,Data Type
customers,customer_id,object
customers,customer_unique_id,object
customers,customer_zip_code_prefix,int64
customers,customer_city,object
customers,customer_state,object
geolocation,geolocation_zip_code_prefix,int64
geolocation,geolocation_lat,float64
geolocation,geolocation_lng,float64
geolocation,geolocation_city,object
geolocation,geolocation_state,object
order_items,order_id,object
order_items,order_item_id,int64
order_items,product_id,object
order_items,seller_id,object
order_items,shipping_limit_date,object
order_items,price,float64
order_items,freight_value,float64
order_payments,order_id,object
order_payments,payment_sequential,int64
order_payments,payment_type,object
order_payments,payment_installments,int64
order_payments,payment_value,float64
order_reviews,review_id,object
order_reviews,order_id,object
order_reviews,review_score,int64
order_reviews,review_comment_title,object
order_reviews,review_comment_message,object
order_reviews,review_creation_date,object
order_reviews,review_answer_timestamp,object
orders,order_id,object
orders,customer_id,object
orders,order_status,object
orders,order_purchase_timestamp,object
orders,order_approved_at,object
orders,order_delivered_carrier_date,object
orders,order_delivered_customer_date,object
orders,order_estimated_delivery_date,object
products,product_id,object
products,product_category_name,object
products,product_name_lenght,float64
products,product_description_lenght,float64
products,product_photos_qty,float64
products,product_weight_g,float64
products,product_length_cm,float64
products,product_height_cm,float64
products,product_width_cm,float64
sellers,seller_id,object
sellers,seller_zip_code_prefix,int64
sellers,seller_city,object
sellers,seller_state,object
category_translation,product_category_name,object
category_translation,product_category_name_english,object
