Dataset,Column,Missing Count,Missing Percentage
customers,customer_id,0,0.0
customers,customer_unique_id,0,0.0
customers,customer_zip_code_prefix,0,0.0
customers,customer_city,0,0.0
customers,customer_state,0,0.0
geolocation,geolocation_zip_code_prefix,0,0.0
geolocation,geolocation_lat,0,0.0
geolocation,geolocation_lng,0,0.0
geolocation,geolocation_city,0,0.0
geolocation,geolocation_state,0,0.0
order_items,order_id,0,0.0
order_items,order_item_id,0,0.0
order_items,product_id,0,0.0
order_items,seller_id,0,0.0
order_items,shipping_limit_date,0,0.0
order_items,price,0,0.0
order_items,freight_value,0,0.0
order_payments,order_id,0,0.0
order_payments,payment_sequential,0,0.0
order_payments,payment_type,0,0.0
order_payments,payment_installments,0,0.0
order_payments,payment_value,0,0.0
order_reviews,review_id,0,0.0
order_reviews,order_id,0,0.0
order_reviews,review_score,0,0.0
order_reviews,review_comment_title,87656,88.34
order_reviews,review_comment_message,58247,58.7
order_reviews,review_creation_date,0,0.0
order_reviews,review_answer_timestamp,0,0.0
orders,order_id,0,0.0
orders,customer_id,0,0.0
orders,order_status,0,0.0
orders,order_purchase_timestamp,0,0.0
orders,order_approved_at,160,0.16
orders,order_delivered_carrier_date,1783,1.79
orders,order_delivered_customer_date,2965,2.98
orders,order_estimated_delivery_date,0,0.0
products,product_id,0,0.0
products,product_category_name,610,1.85
products,product_name_lenght,610,1.85
products,product_description_lenght,610,1.85
products,product_photos_qty,610,1.85
products,product_weight_g,2,0.01
products,product_length_cm,2,0.01
products,product_height_cm,2,0.01
products,product_width_cm,2,0.01
sellers,seller_id,0,0.0
sellers,seller_zip_code_prefix,0,0.0
sellers,seller_city,0,0.0
sellers,seller_state,0,0.0
category_translation,product_category_name,0,0.0
category_translation,product_category_name_english,0,0.0
