Table,Check,Affected Rows
customers,missing_key,0
customers,duplicate_key,0
orders,order_purchase_timestamp_missing,0
orders,order_purchase_timestamp_invalid,0
orders,order_approved_at_missing,160
orders,order_approved_at_invalid,0
orders,order_delivered_carrier_date_missing,1783
orders,order_delivered_carrier_date_invalid,0
orders,order_delivered_customer_date_missing,2965
orders,order_delivered_customer_date_invalid,0
orders,order_estimated_delivery_date_missing,0
orders,order_estimated_delivery_date_invalid,0
orders,missing_key,0
orders,duplicate_key,0
order_items,shipping_limit_date_missing,0
order_items,shipping_limit_date_invalid,0
order_items,order_item_id_missing,0
order_items,order_item_id_invalid,0
order_items,price_missing,0
order_items,price_invalid,0
order_items,freight_value_missing,0
order_items,freight_value_invalid,0
order_items,missing_key,0
order_items,duplicate_key,0
order_payments,payment_sequential_missing,0
order_payments,payment_sequential_invalid,0
order_payments,payment_installments_missing,0
order_payments,payment_installments_invalid,0
order_payments,payment_value_missing,0
order_payments,payment_value_invalid,0
order_payments,missing_key,0
order_payments,duplicate_key,0
order_reviews,review_creation_date_missing,0
order_reviews,review_creation_date_invalid,0
order_reviews,review_answer_timestamp_missing,0
order_reviews,review_answer_timestamp_invalid,0
order_reviews,review_score_missing,0
order_reviews,review_score_invalid,0
order_reviews,missing_key,0
order_reviews,duplicate_key,0
products,product_name_lenght_missing,610
products,product_name_lenght_invalid,0
products,product_description_lenght_missing,610
products,product_description_lenght_invalid,0
products,product_photos_qty_missing,610
products,product_photos_qty_invalid,0
products,product_weight_g_missing,2
products,product_weight_g_invalid,0
products,product_length_cm_missing,2
products,product_length_cm_invalid,0
products,product_height_cm_missing,2
products,product_height_cm_invalid,0
products,product_width_cm_missing,2
products,product_width_cm_invalid,0
products,missing_key,0
products,duplicate_key,0
sellers,missing_key,0
sellers,duplicate_key,0
geolocation,geolocation_lat_missing,0
geolocation,geolocation_lat_invalid,0
geolocation,geolocation_lng_missing,0
geolocation,geolocation_lng_invalid,0
category_translation,missing_key,0
category_translation,duplicate_key,0
orders,customer_id_missing_fk,0
orders,customer_id_unmatched_fk,0
order_items,order_id_missing_fk,0
order_items,order_id_unmatched_fk,0
order_items,product_id_missing_fk,0
order_items,product_id_unmatched_fk,0
order_items,seller_id_missing_fk,0
order_items,seller_id_unmatched_fk,0
order_payments,order_id_missing_fk,0
order_payments,order_id_unmatched_fk,0
order_reviews,order_id_missing_fk,0
order_reviews,order_id_unmatched_fk,0
customers,customer_identity_missing,0
customers,zip_missing,0
customers,zip_format_invalid,0
customers,zip_unmatched,278
sellers,zip_missing,0
sellers,zip_format_invalid,0
sellers,zip_unmatched,7
products,category_missing,610
products,category_untranslated,13
order_items,price_negative,0
order_items,price_zero,0
order_items,freight_value_negative,0
order_items,freight_value_zero,383
order_payments,payment_value_negative,0
order_payments,payment_value_zero,9
products,product_weight_g_nonpositive,4
products,product_length_cm_nonpositive,0
products,product_height_cm_nonpositive,0
products,product_width_cm_nonpositive,0
order_reviews,review_score_out_of_range,0
orders,order_status_invalid,0
orders,order_approved_at_before_purchase,0
orders,order_delivered_carrier_date_before_purchase,166
orders,order_delivered_customer_date_before_purchase,0
orders,delivery_before_carrier,23
